Service,Region,Subservice,Detail,Cost_Month1,Cost_Month2,Difference
GuardDuty,EU (Frankfurt),Amazon GuardDuty for Aurora MySQL,$1.23 per vCPU / month analyzed in Europe (Frankfurt) region,7.38,7.38,0.0
Simple Queue Service,,,,607.87,562.14,45.73000000000002
Simple Queue Service,EU (Frankfurt),,,607.87,562.14,45.73000000000002
Simple Queue Service,EU (Frankfurt),Amazon Simple Queue Service EUC1-Requests-FIFO-Tier1,,41.38,31.61,9.770000000000003
Simple Queue Service,EU (Frankfurt),Amazon Simple Queue Service EUC1-Requests-FIFO-Tier1,$0.50 per million Amazon SQS FIFO requests in Tier1 in EU (Frankfurt),41.38,31.61,9.770000000000003
Simple Queue Service,EU (Frankfurt),Amazon Simple Queue Service EUC1-Requests-Tier1,,566.49,530.53,35.960000000000036
Simple Queue Service,EU (Frankfurt),Amazon Simple Queue Service EUC1-Requests-Tier1,$0.40 per million Amazon SQS standard requests in Tier1 in EU (Frankfurt),566.49,530.53,35.960000000000036
CloudTrail,,,,401.39,446.13,-44.74000000000001
CloudTrail,,0.00002 per paid event recorded in Asia Pacific (Mumbai) region,,0.01,0.01,0.0
CloudTrail,,0.00002 per paid event recorded in Asia Pacific (Seoul) region,,0.01,0.01,0.0
CloudTrail,,0.00002 per paid event recorded in Asia Pacific (Singapore) region,,0.01,0.01,0.0
CloudTrail,,0.00002 per paid event recorded in Asia Pacific (Sydney) region,,0.01,0.01,0.0
CloudTrail,,0.00002 per paid event recorded in Asia Pacific (Tokyo) region,,0.01,0.01,0.0
CloudTrail,,0.00002 per paid event recorded in Canada (Central) region,,0.01,0.01,0.0
CloudTrail,,AWS CloudTrail APN1-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,,AWS CloudTrail APN2-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,,AWS CloudTrail APS1-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,,AWS CloudTrail APS2-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,,AWS CloudTrail APS3-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,,AWS CloudTrail CAN1-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,,Asia Pacific (Mumbai),,0.01,0.01,0.0
CloudTrail,,Asia Pacific (Seoul),,0.01,0.01,0.0
CloudTrail,,Asia Pacific (Singapore),,0.01,0.01,0.0
CloudTrail,,Asia Pacific (Sydney),,0.01,0.01,0.0
CloudTrail,,Asia Pacific (Tokyo),,0.01,0.01,0.0
CloudTrail,,Canada (Central),,0.01,0.01,0.0
CloudTrail,EU (Frankfurt),,,376.57,414.38,-37.81
CloudTrail,EU (Frankfurt),0.000001 per data event recorded in EU (Frankfurt) region,,0,0.02,-0.02
CloudTrail,EU (Frankfurt),0.0000035 per event analyzed in EU (Frankfurt) region,,2.33,2.02,0.31000000000000005
CloudTrail,EU (Frankfurt),0.00002 per paid event recorded in EU (Frankfurt) region,,374.24,412.34,-38.099999999999966
CloudTrail,EU (Frankfurt),AWS CloudTrail EUC1-DataEventsRecorded,,0,0.02,-0.02
CloudTrail,EU (Frankfurt),AWS CloudTrail EUC1-InsightsEvents,,2.33,2.02,0.31000000000000005
CloudTrail,EU (Frankfurt),AWS CloudTrail EUC1-PaidEventsRecorded,,374.24,412.34,-38.099999999999966
CloudTrail,EU (Ireland),,,1.69,1.57,0.11999999999999988
CloudTrail,EU (Ireland),0.0000035 per event analyzed in EU (Dublin) region,,0.02,0.02,0.0
CloudTrail,EU (Ireland),0.00002 per paid event recorded in EU (Dublin) region,,1.67,1.55,0.11999999999999988
CloudTrail,EU (Ireland),0.00002 per paid event recorded in EU (London) region,,0.01,0.01,0.0
CloudTrail,EU (Ireland),0.00002 per paid event recorded in EU (Paris) region,,0.01,0.01,0.0
CloudTrail,EU (Ireland),0.00002 per paid event recorded in EU (Stockholm) region,,1.09,1.04,0.050000000000000044
CloudTrail,EU (Ireland),0.00002 per paid event recorded in South America(Sao Paulo) region,,0.01,0.01,0.0
CloudTrail,EU (Ireland),AWS CloudTrail EU-InsightsEvents,,0.02,0.02,0.0
CloudTrail,EU (Ireland),AWS CloudTrail EU-PaidEventsRecorded,,1.67,1.55,0.11999999999999988
CloudTrail,EU (Ireland),AWS CloudTrail EUN1-PaidEventsRecorded,,1.09,1.04,0.050000000000000044
CloudTrail,EU (Ireland),AWS CloudTrail EUW2-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,EU (Ireland),AWS CloudTrail EUW3-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,EU (Ireland),AWS CloudTrail SAE1-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,EU (Ireland),EU (London),,0.01,0.01,0.0
CloudTrail,EU (Ireland),EU (Paris),,0.01,0.01,0.0
CloudTrail,EU (Ireland),EU (Stockholm),,1.09,1.04,0.050000000000000044
CloudTrail,EU (Ireland),South America (Sao Paulo),,0.01,0.01,0.0
CloudTrail,US East (N. Virginia),,,21.91,29.01,-7.100000000000001
CloudTrail,US East (N. Virginia),0.00002 per paid event recorded in US East (N.Virginia) region,,21.91,29.01,-7.100000000000001
CloudTrail,US East (N. Virginia),0.00002 per paid event recorded in US East (Ohio) region,,0.01,0.01,0.0
CloudTrail,US East (N. Virginia),0.00002 per paid event recorded in US West (N.California) region,,0.01,0.01,0.0
CloudTrail,US East (N. Virginia),AWS CloudTrail USE1-PaidEventsRecorded,,21.91,29.01,-7.100000000000001
CloudTrail,US East (N. Virginia),AWS CloudTrail USE2-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,US East (N. Virginia),AWS CloudTrail USW1-PaidEventsRecorded,,0.01,0.01,0.0
CloudTrail,US East (N. Virginia),US East (Ohio),,0.01,0.01,0.0
CloudTrail,US East (N. Virginia),US West (N. California),,0.01,0.01,0.0
CloudTrail,US West (Oregon),,,0.02,0.02,0.0
CloudTrail,US West (Oregon),0.00002 per paid event recorded in US West (Oregon) region,,0.02,0.02,0.0
CloudTrail,US West (Oregon),AWS CloudTrail USW2-PaidEventsRecorded,,0.02,0.02,0.0
WAF,,,,386.44,353.37,33.06999999999999
WAF,,AWS WAF Global-RequestV2-Tier1,,314.44,281.37,33.06999999999999
WAF,,AWS WAF Global-RequestV2-Tier1,$0.60 per million requests processed,314.44,281.37,33.06999999999999
WAF,,AWS WAF Global-RuleV2,,19.0,19.0,0.0
WAF,,AWS WAF Global-RuleV2,$1.00 per rule created (prorated hourly),19.0,19.0,0.0
WAF,,AWS WAF Global-WebACLV2,,20.0,20.0,0.0
WAF,,AWS WAF Global-WebACLV2,$5.00 per web ACL created (prorated hourly),20.0,20.0,0.0
WAF,,Any,,353.44,320.37,33.06999999999999
WAF,EU (Frankfurt),,,33.0,33.0,0.0
WAF,EU (Frankfurt),AWS WAF EUC1-RuleV2,,18.0,18.0,0.0
WAF,EU (Frankfurt),AWS WAF EUC1-RuleV2,$1.00 per rule created (prorated hourly),18.0,18.0,0.0
WAF,EU (Frankfurt),AWS WAF EUC1-WebACLV2,,15.0,15.0,0.0
WAF,EU (Frankfurt),AWS WAF EUC1-WebACLV2,$5.00 per web ACL created (prorated hourly),15.0,15.0,0.0
Elastic Container Service for Kubernetes,,,,320.85,288.0,32.85000000000002
Elastic Container Service for Kubernetes,EU (Frankfurt),,,320.85,288.0,32.85000000000002
Elastic Container Service for Kubernetes,EU (Frankfurt),Amazon EKS cluster usage in EU (Frankfurt),,298.77,288.0,10.769999999999982
Elastic Container Service for Kubernetes,EU (Frankfurt),Amazon EKS extended support usage in EU (Frankfurt),,22.08,0,22.08
Elastic Container Service for Kubernetes,EU (Frankfurt),Amazon Elastic Container Service for Kubernetes CreateOperation,,298.77,288.0,10.769999999999982
Elastic Container Service for Kubernetes,EU (Frankfurt),Amazon Elastic Container Service for Kubernetes ExtendedSupport,,22.08,0,22.08
Key Management Service,,,,240.86,323.43,-82.57
Key Management Service,EU (Frankfurt),,,239.84,322.41,-82.57000000000002
Key Management Service,EU (Frankfurt),AWS Key Management Service eu-central-1-KMS-Keys,,39.54,41.8,-2.259999999999998
Key Management Service,EU (Frankfurt),AWS Key Management Service eu-central-1-KMS-Keys,$1 per customer managed KMS key version in EU (Frankfurt),39.54,41.8,-2.259999999999998
Key Management Service,EU (Frankfurt),AWS Key Management Service eu-central-1-KMS-Requests,,200.3,280.61,-80.31
Key Management Service,EU (Frankfurt),AWS Key Management Service eu-central-1-KMS-Requests,$0.03 per 10000 KMS requests in EU (Frankfurt),200.3,280.61,-80.31
Key Management Service,EU (Ireland),,,0.01,0.01,0.0
Key Management Service,EU (Ireland),AWS Key Management Service eu-north-1-KMS-Requests,,0.01,0.01,0.0
Key Management Service,EU (Ireland),AWS Key Management Service eu-north-1-KMS-Requests,$0.03 per 10000 KMS requests in EU (Stockholm),0.01,0.01,0.0
Key Management Service,EU (Ireland),AWS Key Management Service eu-west-1-KMS-Requests,,0.01,0.01,0.0
Key Management Service,EU (Ireland),AWS Key Management Service eu-west-1-KMS-Requests,$0.03 per 10000 KMS requests in EU (Ireland),0.01,0.01,0.0
Key Management Service,EU (Ireland),EU (Stockholm),,0.01,0.01,0.0
Key Management Service,US East (N. Virginia),,,1.0,1.0,0.0
Key Management Service,US East (N. Virginia),AWS Key Management Service us-east-1-KMS-Keys,,1.0,1.0,0.0
Key Management Service,US East (N. Virginia),AWS Key Management Service us-east-1-KMS-Keys,$1 per customer managed KMS key version in US East (N. Virginia),1.0,1.0,0.0
Elastic Container Service,,,,369.57,293.67,75.89999999999998
Elastic Container Service,EU (Frankfurt),,,369.57,293.67,75.89999999999998
Elastic Container Service,EU (Frankfurt),AWS Fargate - Memory - EU (Frankfurt),,183.46,169.75,13.710000000000008
Elastic Container Service,EU (Frankfurt),AWS Fargate - vCPU - EU (Frankfurt),,801.18,739.8,61.379999999999995
Elastic Container Service,EU (Frankfurt),Amazon Elastic Container Service EUC1-Fargate-GB-Hours,,64.77,53.19,11.579999999999998
Elastic Container Service,EU (Frankfurt),Amazon Elastic Container Service EUC1-Fargate-vCPU-Hours:perCPU,,304.8,240.48,64.32000000000002
Route 53,,,,124.22,123.0,1.2199999999999989
Route 53,,Amazon Route 53 DNS-Queries,,53.97,52.39,1.5799999999999983
Route 53,,Amazon Route 53 DNS-Queries,"$0.40 per 1,000,000 queries for the first 1 Billion queries",53.97,52.39,1.5799999999999983
Route 53,,Amazon Route 53 Health-Check-Non-AWS,,3.75,3.85,-0.10000000000000009
Route 53,,Amazon Route 53 Health-Check-Non-AWS,$0.75 per Health Check for Health Checks of non-AWS endpoints,3.75,3.85,-0.10000000000000009
Route 53,,Amazon Route 53 Health-Check-Option-AWS,,37.0,36.73,0.2700000000000031
Route 53,,Amazon Route 53 Health-Check-Option-AWS,$1.00 per optional feature for Health Checks of AWS endpoints,37.0,36.73,0.2700000000000031
Route 53,,Amazon Route 53 Health-Check-Option-Non-AWS,,14.0,14.53,-0.5299999999999994
Route 53,,Amazon Route 53 Health-Check-Option-Non-AWS,$2.00 per optional feature for Health Checks of non-AWS endpoints,14.0,14.53,-0.5299999999999994
Route 53,,Amazon Route 53 HostedZone,,15.5,15.5,0.0
Route 53,,Amazon Route 53 HostedZone,$0.10 per Hosted Zone for additional Hosted Zones,3.0,3.0,0.0
Route 53,,Amazon Route 53 HostedZone,$0.50 per Hosted Zone for the first 25 Hosted Zones,12.5,12.5,0.0
Route 53,,Any,,15.5,15.5,0.0
Route 53,,Global,,108.72,107.5,1.2199999999999989
Simple Notification Service,,,,88.32,91.22,-2.9000000000000057
Simple Notification Service,EU (Frankfurt),,,9.99,11.33,-1.3399999999999999
Simple Notification Service,EU (Frankfurt),Amazon Simple Notification Service EUC1-DeliveryAttempts-APNS,,3.57,4.07,-0.5000000000000004
Simple Notification Service,EU (Frankfurt),Amazon Simple Notification Service EUC1-DeliveryAttempts-APNS,"$0.50 per 1,000,000 Mobile Push Notifications per month thereafter",3.57,4.07,-0.5000000000000004
Simple Notification Service,EU (Frankfurt),Amazon Simple Notification Service EUC1-DeliveryAttempts-GCM,,0.56,0.87,-0.30999999999999994
Simple Notification Service,EU (Frankfurt),Amazon Simple Notification Service EUC1-DeliveryAttempts-GCM,"$0.50 per 1,000,000 Mobile Push Notifications per month thereafter",0.56,0.87,-0.30999999999999994
Simple Notification Service,EU (Frankfurt),Amazon Simple Notification Service EUC1-DeliveryAttempts-HTTP,,0.04,0.04,0.0
Simple Notification Service,EU (Frankfurt),Amazon Simple Notification Service EUC1-DeliveryAttempts-HTTP,"$0.06 per 100,000 Amazon SNS HTTP/HTTPS Notifications thereafter",0.04,0.04,0.0
Simple Notification Service,EU (Frankfurt),Amazon Simple Notification Service EUC1-Requests-Tier1,,5.82,6.35,-0.5299999999999994
Simple Notification Service,EU (Frankfurt),Amazon Simple Notification Service EUC1-Requests-Tier1,"$0.50 per 1,000,000 Amazon SNS API Requests per month thereafter",5.82,6.35,-0.5299999999999994
Simple Notification Service,EU (Ireland),,,78.33,79.89,-1.5600000000000023
Simple Notification Service,EU (Ireland),Amazon Simple Notification Service EU-DeliveryAttempts-APNS,,31.85,30.93,0.9200000000000017
Simple Notification Service,EU (Ireland),Amazon Simple Notification Service EU-DeliveryAttempts-APNS,"$0.50 per 1,000,000 Mobile Push Notifications per month thereafter",31.85,30.93,0.9200000000000017
Simple Notification Service,EU (Ireland),Amazon Simple Notification Service EU-DeliveryAttempts-GCM,,5.19,6.78,-1.5899999999999999
Simple Notification Service,EU (Ireland),Amazon Simple Notification Service EU-DeliveryAttempts-GCM,"$0.50 per 1,000,000 Mobile Push Notifications per month thereafter",5.19,6.78,-1.5899999999999999
Simple Notification Service,EU (Ireland),Amazon Simple Notification Service EU-Requests-Tier1,,41.29,42.18,-0.8900000000000006
Simple Notification Service,EU (Ireland),Amazon Simple Notification Service EU-Requests-Tier1,"$0.50 per 1,000,000 Amazon SNS API Requests per month thereafter",41.29,42.18,-0.8900000000000006
Registrar,,,,28.0,31.0,-3.0
Registrar,,Amazon Registrar DomainTransfer,,14.0,0,14.0
Registrar,,Amazon Registrar RenewDomain,,14.0,31.0,-17.0
Registrar,,Global,,28.0,31.0,-3.0
Registrar,,[OP-F0OA] Transfer of findnurture.com,,14.0,0,14.0
Registrar,,[OP-enBN] Renewal of famlyhq.com,,14.0,0,14.0
Registrar,,[OP-gAcQ] Renewal of tryfamly.co,,0,31.0,-31.0
API Gateway,,,,220.14,45.09,175.04999999999998
API Gateway,EU (Frankfurt),,,220.14,45.09,175.04999999999998
API Gateway,EU (Frankfurt),Amazon API Gateway ApiGatewayHttpApi,,0.01,0,0.01
API Gateway,EU (Frankfurt),Amazon API Gateway ApiGatewayHttpApi,$1.2/million requests - API Gateway HTTP API (first 300 million),0.01,0,0.01
API Gateway,EU (Frankfurt),Amazon API Gateway ApiGatewayRequest,,220.13,45.09,175.04
API Gateway,EU (Frankfurt),Amazon API Gateway ApiGatewayRequest,$3.70/million requests - first 333 million requests/month,220.13,45.09,175.04
QuickSight,,,,23.94,24.0,-0.05999999999999872
QuickSight,,Amazon QuickSight QS-User-Enterprise-Month,,23.94,24.0,-0.05999999999999872
QuickSight,,Any,,23.94,24.0,-0.05999999999999872
QuickSight,,QuickSight Enterprise Edition User,,23.94,24.0,-0.05999999999999872
Lightsail,,,,21.99,21.28,0.7099999999999973
Lightsail,EU (Frankfurt),,,21.99,9.0,12.989999999999998
Lightsail,EU (Frankfurt),AWS CodePipeline EUC1-activePipeline,,0,9.0,-9.0
Lightsail,EU (Frankfurt),AWS CodePipeline EUC1-activePipeline,$1.00 per additional active pipeline,0,9.0,-9.0
Lightsail,EU (Frankfurt),Amazon Lightsail Bundle:2GB,,21.99,21.28,0.7099999999999973
Lightsail,EU (Frankfurt),Amazon Lightsail Bundle:2GB,$0.02956 / Hour of 2GB bundle Instance including public IPv4 address (Windows),21.99,21.28,0.7099999999999973
Lightsail,EU (Frankfurt),CodePipeline,,0,9.0,-9.0
Secrets Manager,,,,7.97,7.96,0.009999999999999787
Secrets Manager,EU (Frankfurt),,,7.57,7.56,0.010000000000000675
Secrets Manager,EU (Frankfurt),AWS Secrets Manager EUC1-AWSSecretsManager-Secrets,,7.57,7.56,0.010000000000000675
Secrets Manager,EU (Frankfurt),AWS Secrets Manager EUC1-AWSSecretsManager-Secrets,$0.40 per Secret,7.57,7.56,0.010000000000000675
Secrets Manager,US East (N. Virginia),,,0.4,0.4,0.0
Secrets Manager,US East (N. Virginia),AWS Secrets Manager USE1-AWSSecretsManager-Secrets,,0.4,0.4,0.0
Secrets Manager,US East (N. Virginia),AWS Secrets Manager USE1-AWSSecretsManager-Secrets,$0.40 per Secret,0.4,0.4,0.0
Cost Explorer,,,,7.9,7.9,0.0
Cost Explorer,US East (N. Virginia),,,7.9,7.9,0.0
Cost Explorer,US East (N. Virginia),AWS Cost Explorer CostDataStorage,,6.35,6.4,-0.05000000000000071
Cost Explorer,US East (N. Virginia),AWS Cost Explorer CostDataStorage,"$0.01 per 1,000 UsageRecord-month of stored Granular Cost Data Usage-records",6.35,6.4,-0.05000000000000071
Cost Explorer,US East (N. Virginia),AWS Cost Explorer USE1-APIRequest,,1.55,1.5,0.050000000000000044
Cost Explorer,US East (N. Virginia),AWS Cost Explorer USE1-APIRequest,$0.01 per API Request,1.55,1.5,0.050000000000000044
EC2 Container Registry (ECR),,,,5.07,5.0,0.07000000000000028
EC2 Container Registry (ECR),EU (Frankfurt),,,5.07,5.0,0.07000000000000028
EC2 Container Registry (ECR),EU (Frankfurt),Amazon EC2 Container Registry (ECR) EUC1-TimedStorage-ByteHrs,,5.07,5.0,0.07000000000000028
EC2 Container Registry (ECR),EU (Frankfurt),Amazon EC2 Container Registry (ECR) EUC1-TimedStorage-ByteHrs,$0.10 per GB-month of data storage,5.07,5.0,0.07000000000000028
Amazon Chime,,,,10.11,6.91,3.1999999999999993
Amazon Chime,US East (N. Virginia),,,10.11,6.91,3.1999999999999993
Amazon Chime,US East (N. Virginia),Amazon Chime USE1-Chime-SDK-attendee-minutes,,10.11,6.91,3.1999999999999993
Amazon Chime,US East (N. Virginia),Amazon Chime USE1-Chime-SDK-attendee-minutes,$0.0017 per minutes for Chime-SDK-attendee-minutes in US East (N. Virginia),10.11,6.91,3.1999999999999993
SageMaker,,,,3.33,3.33,0.0
SageMaker,EU (Frankfurt),,,3.33,2.58,0.75
SageMaker,EU (Frankfurt),AWS CodeBuild - Build minutes on build.general1.small - EU (Frankfurt),,0,2.58,-2.58
SageMaker,EU (Frankfurt),Amazon SageMaker CreateVolume-Gp3,,3.33,3.33,0.0
SageMaker,EU (Frankfurt),Amazon SageMaker CreateVolume-Gp3,$0.13328 per GB-Mo of provisioned ML storage,3.33,3.33,0.0
SageMaker,EU (Frankfurt),CodeBuild,,0,2.58,-2.58
SageMaker,EU (Frankfurt),CodeBuild EUC1-Build-Min:Linux:g1.small,,0,2.58,-2.58
Budgets,,,,0.93,0.9,0.030000000000000027
Budgets,,Any,,0.93,0.9,0.030000000000000027
Budgets,,CodeBuild,,0.45,0,0.45
Budgets,EU (Frankfurt),,,0.45,0,0.45
Budgets,EU (Frankfurt),AWS CodeBuild - Build minutes on build.general1.small - EU (Frankfurt),,0.45,0,0.45
Budgets,EU (Frankfurt),CodeBuild EUC1-Build-Min:Linux:g1.small,,0.45,0,0.45
CloudWatch Events,,,,1.42,0.92,0.4999999999999999
CloudWatch Events,EU (Frankfurt),,,1.0,0.92,0.07999999999999996
CloudWatch Events,EU (Frankfurt),AWS CodePipeline EUC1-activePipeline,,1.0,0,1.0
CloudWatch Events,EU (Frankfurt),AWS CodePipeline EUC1-activePipeline,$1.00 per additional active pipeline,1.0,0,1.0
CloudWatch Events,EU (Frankfurt),CloudWatch Events PutEvents,,1.42,0.92,0.4999999999999999
CloudWatch Events,EU (Frankfurt),CloudWatch Events PutEvents,$1.00 per million EventBridge custom events received in EU (Frankfurt),1.42,0.92,0.4999999999999999
CloudWatch Events,EU (Frankfurt),CodePipeline,,1.0,0,1.0
CodeWhisperer,,,,19.0,0,19.0
CodeWhisperer,US East (N. Virginia),,,19.0,0,19.0
CodeWhisperer,US East (N. Virginia),Amazon CodeWhisperer USE1-CodeWhisperer-Professional,,19.0,0,19.0
CodeWhisperer,US East (N. Virginia),Monthly charge for CodeWhisperer Professional tier,,19.0,0,19.0
Glue,,,,420.61,133.94,286.67
Glue,EU (Frankfurt),,,420.61,133.94,286.67
Glue,EU (Frankfurt),AWS Glue Jobrun,,420.61,133.94,286.67
Glue,EU (Frankfurt),AWS Glue Jobrun,$0.44 per Data Processing Unit-Hour for AWS Glue ETL job,420.61,133.94,286.67
